file_name,caption_1,caption_2,caption_3,caption_4,caption_5,final_caption,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Sawing 2x4.wav,A person grinding away at a piece of piping.,A person grinds away at a piece of metal pipe with a grinder.,A person is sawing metal at a consistent pace.,A person uses a saw and saws wood.,Repetitive sawing of a tube or hollow pipe.,A person is sawing something with a saw.,,,,,,,,,,,
Maria Hernandez Park September 1st.wav,A skateboarder is coasting on his board on a back and forth ramp as voices talk in the background.,A skateboarder rides his board up and down a ramp as people speak in the background.,People skateboard with some children who are faintly speaking.,Boards with small wheels are being ridden while children are quietly speaking.,People skateboard around at the park while chatting and laughing.,"People skateboard in the park, accompanied by children's laughter and chatter.",,,,,,,,,,,
cartwheel suitcase plastic wheels rolling on tiled pavement floor plock tock with ambient outdoors.wav,A person dragging a suitcase along a hard surface.,Some horse buckle in a road of some steps.,Various hard objects are slapping against each other and people are conversing in the background.,Wheeled bag being pulled over the breaks in a walkway,Wheeled suitcase being pulled over the cracks in a sidewalk,Wheeled suitcase being pulled over the cracks in a sidewalk and people are conversing in the background.,,,,,,,,,,,
Int- Mom&amp;Dadcondooropenandclose.wav,A man speaks after a beep and a door opens.,"A person moving around, opening then shutting a door, a beeping alarm and a male voice talking.",A person opens and shuts a door while a alarm beeps and a man talks.,An alarm goes off as a door is opened.,"Several noises occur: a cabinet is opened and then shut, something a beeping, and a man is talking.","Footsteps approached, a door opened and closed, an alarm beeped, and a man's voice spoke.",,,,,,,,,,,
BEACH_SMALL_SAND.wav,Several waves of water in a lake on the shore,The water splashing back and forth reminds one of waves crashing on the shoreline.,"""Water flows and splashes in repeated cycles, some splashes bigger.""",Waves push and crash along the shore of the beach.,waves pushing up on shore at the beach,Waves push and crash along the shore of the beach.,,,,,,,,,,,
Gentle Rain.wav,A heavy rain shower echoing in the background.,A jet of water hitting a plastic container.,In the bathroom someone is taking a shower.,a heavy rain shower echoing in the foreground,the noise of a waterfall from very close up,The persistent sound of rain,,,,,,,,,,,
2006-2007-fireworks.wav,A gun is being fired in the background.,A gun is being shot in the background.,A woman is watching fireworks go off in her neighborhood,Fireworks are going off and getting progressively louder and more frequent.,"Fireworks go off, getting louder and more frequent as they go on.",Fireworks are going off and getting progressively louder and more frequent.,,,,,,,,,,,
Spray.wav,A person is spraying on a wall outside,A person sprays a can of liquid air on the keyboard and they set the can down on table.,A spray bottle is sprayed on a surface to clean it.,A person sprays the surface before cleaning it.,The wall outside is being covered in spray paint.,"A person is using a spray bottle to spray something, with faint background music playing.",,,,,,,,,,,
crickets and owls.wav,"""An insect buzzes in the foreground, with a shrieking bird in the background.""",Buzzing insect with a shrieking bird in the background.,Insect wings whir and pause in the background as a bird screeches and a dog barks.,Multiple insect wings alternately whir and pause in the background as a bird screeches and a dog barks.,in the forest with a little bit of rain and a bird talking and a wolf howling.,"In the foreground, an insect buzzes, cars hum, and dogs bark; in the background, a bird screeches.",,,,,,,,,,,
Moteur.wav,"""A motor hums faster, then slower and faster again in repetitions.""",A sports car that is accelerating to higher speed.,The humming of a motor being shifted gets louder and louder.,The humming of a motor being shifted that gets louder progressively.,The whir of a machine escalates and then fades several times.,"A motor hums faster, then slower and faster again in repetitions.",,,,,,,,,,,
Skate pass on road 4.wav,A person is riding a skateboard on the pavement.,A skateboard clatters and vibrates as it gathers speed across concrete and stops.,A skateboard moves over pavement increasing and decreasing in speed.,Going slower and faster a skateboard glides over the pavement.,Someone is rolling down the sidewalk on a skateboard.,"The skateboard glides along the pavement, speeding up and slowing down, with birds chirping in the background.",,,,,,,,,,,
Mug in sink.wav,Running water is being poured into the container that is on the stove.,Water being poured from a spout into another container and the container being set on a hard surface.,Water is poured down a drain before a metallic object is opened and closed.,Water poured from a spout into another container and the container being set on a hard surface.,water is running and being poured into a container that is set upon a stove.,Pour water from the faucet into another container and place that container on a hard surface.,,,,,,,,,,,
waves_1.wav,An ocean spray is created when waves hit the shoreline.,An ocean spray is made while waves come to shore.,Incoming waves crash against the shoreline at a steady pace.,The waves are crashing onto the shore of a beach.,Waves crash against the shoreline at a steady pace.,Incoming waves crash against the shoreline at a steady pace.,,,,,,,,,,,
obres_maremagnum2.wav,A cutting wheel is being used to cut and shape a piece of metal.,A piece of machinery screeches as metal scrapes against metal.,Metal grinds with reverberation and squealing with a high pitch.,The metal pieces grind with reverberation and a high pitched squealing.,a piece of metal is being polished and shaped with a cutting wheel,Using a cutting wheel in the workshop to cut or shape a piece of metal.,,,,,,,,,,,
Kitchen Noise From Distance.wav,Dishes being gathered together for some kind of use.,Someone putting dishes away in the kitchen cabinet.,The dishes are being put away in the kitchen.,The eating utensil is set down before the next place is arranged at the table.,"""Within a nearby room, silverware is being fumbled.""","In the kitchen, dishes are being put away, accompanied by the clatter of cookware and the sound of cabinets opening.",,,,,,,,,,,
Gas Stove.wav,Electricity is sparking in a repeating pattern with gas lighting a stove,the knob on a gas stove being turned so the burner can light and be turned on,A spark of electricity with gas lighting a stove making a sound in a repeating pattern,The knob on a gas stove being turned so the burner can be lit.,"An engine attempts to start, fails, and tries again twice before firing up.",Turn the knob on the gas stove to ignite and activate the burner.,,,,,,,,,,,
tent - int wind and rain.wav,A flag or tarp is whipping in a strong wind.,A flag or tarp whipping in a strong wind.,The blowing wind rustles the leaves among footsteps.,"""The wind is blowing, leaves rustling and footsteps.""",it is raining heavily outside while the wind is blowing strongly,"Outside, a torrential downpour raged, accompanied by fierce winds. Flags and tarpaulins flapped and whipped in the gale.",,,,,,,,,,,
Motor boat.wav,A large helicopter is approaching and then landing.,"A motor is whirring and rumbling, consistently but not rhythmically.",An old and noisy engine keeps running along.,The engine of a vehicle roars in the street.,The noise of a large helicopter approaching landing.,The motor emitted a continuous humming and rumbling sound.,,,,,,,,,,,
recorder_in_A_bag.wav,"A woman zips open the bag, digs through its interior, and then zips the bag back up.","A zipper is being zipped up, then a man walks through snow, then the zipper is pulled down again.",A zipper of a bag is opened and items are moved around in the bag and the zipper is closed.,"A zipper of a bag is opened, items moved around and the zipper is closed.","Someone opens a small bag, digs through it, and zips it back up.","A woman unzipped her bag, rummaged through its contents as she walked, then zipped it back up.",,,,,,,,,,,
20091211.barking.stairs.wav,A dog is barking loudly while people are talking in the background.,A dog is barking while a couple has a conversation.,A dog is barking while people are talking.,A reverberating bark of a dog while people have a nearby conversation.,a dogs echoing barking with people talking in the background,A reverberating bark of a dog while people have a nearby conversation.,,,,,,,,,,,
lietus_jumts.wav,A door is banged on with different rates while water is flowing.,Rain falling while a person plays the drums.,The drum lines are drawn together to create a specific rhythm.,The drum lines are drumming together to create a specific rhythm.,"Windows are open, rain is falling and a person plays the drums.","Raindrops fell, pounding loudly on the roof.",,,,,,,,,,,
wind-sound-from-inside-car.wav,A gust of wind blows by some small trees.,"As the car drives down the rough road, the wind blows the dust into the air.",Not a thing can stop this moderate wind from blowing.,The wind keeps blowing at a moderate pace nonstop.,Wind blows as the car drives down the road,Wind blows as the car drives down the road,,,,,,,,,,,
Greek Chat2 - (Apollonia&#39;s sPA) 18_44 05.10.wav,A large group of people are having several conversations in the background.,Group of people talking in the background and a short crunch in the middle.,"In the background, a short crunch is in the middle of a group of people talking.",A lot of people are chatting at a gathering.,The people are chatting in the background of the video.,"A group of people are chatting, and someone is taking photos.",,,,,,,,,,,
RowanMagennis_160019_SD100_CrumplingTinFoil.wav,"""A thin sheet of sheet metal being pulled off a roll before getting crunched, scrunched and rubbed together.""",A thin sheet of metal crinkles and crumples noisily.,A sheet of thin sheet metal is crumpled noisily.,"""Sheets of elastic thin metal are pulled off a roll and crunched, scrunched and rubbed together.""",Someone is loudly shuffling through metallic objects in a room.,A thin sheet of metal crinkles and crumples noisily.,,,,,,,,,,,
Stockholm subway C20 train departing.wav,"""A buzzer warns of departure, a air brake is released, while a roller coaster ride takes off.""","""A horn beeps for an amusement park ride, air brakes release and the ride takes off.""","""A warning button sounds, then a vehicle goes at a high speed.""","""After a horn beeps for an amusement park ride, the air brakes release and the ride begins.""","""First comes a beeping sound, then a door closing, then the train starts to speed up.""","The subway emitted a warning tone, then began to accelerate.",,,,,,,,,,,
bareboneshowling.wav,A large number of dogs howl while guitar plays in the background.,"""Animals howl together in a group, then intense music plays.""",Guitar plays in the background while a large number of dogs howl,Howling or spooky noises with background music possibly from a pack of dogs or a ghost movie.,There was howling or ghost like noises with background music maybe from a pack of dogs or a ghost movie.,Howling or spooky noises with background music,,,,,,,,,,,
thunderClap3.wav,"Rain pours while thunder booms and lightning cracks, a dog barks and birds chirp amid the rain.",The storm intensifies with a clap of thunder.,The thunder roars above the people as they scream and the wind blows,The thunder roars and the wind blows as people scream.,"Three cracks of lightning, afterwards a dog can be heard faintly barking.","Rain pours while thunder booms and lightning cracks, a dog barks and birds chirp amid the rain.",,,,,,,,,,,
SummerTanagerJune2010.wav,A bird is singing with cricket chirping and car driving by in the background,Birds are chirping while locusts and crickets chirp in the background.,The jungle is alive with the calls of birds and animals.,"While birds are chirping, locusts and crickets chirp in the background.",a bird is singing with cricket chirping and car moving in the background,A bird is singing with cricket chirping and car driving by in the background.,,,,,,,,,,,
d0_drips_03.wav,A drop of water is released into a glass.,A tap opens a little and water drips into a basin,Water dripping into the sink and a slight tapping.,Water drips into a sink making a slight tapping sound as it hits.,Water is slowly dripping from a tap into a sink,"The faucet was turned on slightly, and water dripped into the basin.",,,,,,,,,,,
Signal of the police car.wav,A siren blaring and it continued over and over again,A siren is blaring very loudly and will not stop.,Alarm sirens ring loudly and then move off in the distance.,An emergency siren blaring loudly nearby and fading as it moves away.,An emergency vehicle is making loud noises to warn of its oncoming approach.,An emergency siren blaring loudly nearby and fading as it moves away.,,,,,,,,,,,
old small dog barking woods 151003_0804 ST.wav,A dog barks and a bird chirps and the wind blows.,"A dog barks, a bird chirps, and the wind blows.",A dog is barking while birds are chirping in the background,Birds chirp in the background while a dog barks.,dogs are barking and howling with birds chirping in the background,"In the background came the sounds of dogs barking and howling, along with birds chirping.",,,,,,,,,,,
firework 1.wav,A group of fireworks that are being shot into the sky.,Different fireworks are exploding along with sparking that are being set off in close proximity to each other.,"Fireworks are going off, one after the other.",Fireworks are ignited in succession with each exploding one after another.,Fireworks explode and set off in close proximity to one another.,"Fireworks are going off, one after the other.",,,,,,,,,,,
Wind moaning through gap in door and house noises.wav,A snow storm is blowing hard outside a house.,A snow storm is blowing very hard outside a house.,Rain is pouring and the wind is blowing,The wind blows as the rain continues to fall heavily.,Wind moans as rain clatters against various surfaces,Wind moans as rain clatters against various surfaces.,,,,,,,,,,,
hachiko-crossing.wav,A large crowd of people talking with music in the back ground.,A slight crowd of people stands casually at the intersection and takes a breath.,A slight crowd of casual people at the intersection breath.,Music is playing and men and women are talking.,Music is playing as men and women are talking.,"A large crowd chatted while listening to music, with the sound of cars driving by in the background.",,,,,,,,,,,
traffic-cars-passing-left-to-right-nearby.wav,Cars are going by on a busy road.,Cars pass each other on the busy road.,Several cars and trucks are passing by on a busy road.,Several vehicles are passing on the road and splashing over the wet pavement.,Several vehicles are passing on the road on wet pavement.,Several cars and trucks are driving along the busy road.,,,,,,,,,,,
mowerbird.wav,Birds chirping excitedly in the foreground with a lawnmower running in the distance.,Birds tweet in the background as someone is mowing the lawn.,Birds tweet in the background while someone is mowing the lawn.,Other birds answer to a bird that is chirping.,The lawnmower runs in the distance and the excited birds are chirping in the background.,Birds tweet in the background while someone is mowing the lawn.,,,,,,,,,,,
Train coming to a stop (recorded between two cars).wav,A train is travelling making loud crashing and hissing sounds.,A train slowing down at a station and coming to a stop,"As it comes to a stop, a train slows down at a station.",Inside a train car that is moving along the tracks.,Inside the car of a train that is travelling along the tracks.,A train emitted loud clattering and hissing noises as it traveled.,,,,,,,,,,,
Swimming at the pool.wav,A large crowd is chatting outside as a person is stepping through puddles.,A crowd is chatting swimming in a large indoor swimming pool.,"Indoors, large swimming pool, people talking, swimming, swimmer getting closer to an observer.","People are swimming near a waterfall, while birds chirp in the distance.","Rain falls, a person walks in the rain, music plays, and people talk.","Large swimming pool, people talking, swimming, swimmer getting closer to an observer.",,,,,,,,,,,
FIELD_EVENINIG_02.wav,Bugs are making noise outdoors as it is night time and a car drives by.,Crickets are loudly chirping and other insects are buzzing.,Crickets chirp while traffic passes by in the distance.,Crickets chirping and a very loud ambient noise resting in the background.,crickets chirping with traffic passing in the distance,Crickets chirp while traffic passes by in the distance.,,,,,,,,,,,
thunder001.wav,A clap of thunder sounds in the distance and the wind howls around.,A clap of thunder sounds in the distance and the wind howls.,A thunderstorm approaches as thunder in the distance becomes nearer and a gentle rain comes down.,A thunderstorm with thunder in the distance while a gentle rain comes down.,The wind is blowing and thunder roars in the sky.,Distant thunder rumbled closer as a fine mist of rain fell.,,,,,,,,,,,
Downtown Palm Springs Street (Cars Passing By).wav,A playground is next to a street with moderate traffic.,Several vehicles passing by a park with people,"Traffic driving by in both directions, and then people talking in the distance.",Waves crashed quietly while people talked in the distance.,"the Traffic driving by in both directions, and then people talking in the distance.","Vehicles kept passing by, and the sound of people talking drifted in from the distance.",,,,,,,,,,,
"Atmos beach regular waves hit shore, birds mono.wav",A vehicle is going down the road and the window is rolled down.,A vehicle is going down the road with the window rolled down.,Driving rain falls heavily onto a hard surface.,Ocean waves rolling in and crashing on the sand.,heavy rain falling on to a hard surface,"Waves rolled in, crashing against the sandy shore.",,,,,,,,,,,
R09_0007.wav,"""The applause of a crowd continues steadily, but fails to erupt.""",A group of people have been clapping in rhythm.,A large group of people are clapping their hands.,A large group of people clap their hands.,a group of people are clapping in rhythm,A group of people have been clapping in rhythm.,,,,,,,,,,,
weekly market [2].wav,A crowd of people are speaking while a man is shouting.,A crowd of people talk over each other with one person shouting above the others,A crowd of people talking over each other with one person shouting above others.,As a group of people chatted a man was shouting.,"As a person yells, other people in the crowd talk.",A crowd of people talk over each other with one person shouting above the others.,,,,,,,,,,,
FootSteps-SolidSurface.wav,A person is walking making loud sounds with their footsteps.,A person is walking up the stairs and it gets louder with every step.,"A person is walking up the stairs, it gets louder with every step.",A person walking making loud sounds with their footsteps.,Steady pace of boots walking along a surface repeatedly.,The boots walked steadily and repeatedly across the solid surface.,,,,,,,,,,,
Chuck-will&#39;s-widow.wav,A bird singing cheerfully with a mild echo.,Welcoming and mild echo is occurring while a bird is singing cheerfully.,"""In a confined space, a bird is singing and chirping.""",It is a bird chirping sounds in the background.,It sounds to me like a bird chirping.,A bird singing cheerfully with a mild echo.,,,,,,,,,,,
02763 inside damaged chopper.wav,A dangerous sharp blade on the machine that keeps spinning and spinning around.,A truck engine rumbles to life as it drives.,The spinning blades of a machine are constantly moving.,a machines with a blade is continuously spinning,a machines with spinning blades are continuously moving, a machines with a blade is continuously spinning,,,,,,,,,,,
Slide.wav,A wooden file being dragged and tapped against a wooden surface.,A wooden file is being dragged and tapped against a wooden surface.,An individual shaving a wood surface and tapping the planer two times before stopping.,An individual is making smooth a wood surface and tapping the planer two times.,Something moves back and forth scratching on a table.,A person is planing the surface of the wood.,,,,,,,,,,,
water_splash_10shots.wav,A faucet is dripping into a container filled with water.,A faucet slowly drips into a container that is filled with water.,Single drops of water are continuously joining a vast body of water.,"""The roof is leaking, and the water is falling into a bucket.""",drops of water falling into more larger area of water continuously throughout,"drops of water falling into more larger area of water continuously throughout
Best Caption Index: 5",,,,,,,,,,,
je_raintree.wav,A steady rainfall drips onto a thin roof while people talk to each other in a hall.,It is raining and hitting some sort of plastic and people talking in the background.,People talk to one another while rain falls onto a plastic surface.,People talk to one another while water pours into a plastic container.,Water falling at the back of a plastic container and people talking in the background,"It's raining, with raindrops hitting some kind of plastic. In the background, someone is talking.",,,,,,,,,,,
pr#6F9A9E.wav,A coin drops into a glass eight times.,A metal object drops onto a hard surface.,A metal object is being dropped onto a hard surface.,A coin is bounced into a glass eight times.,"""During the game, the boys bounced the coin into the glass eight times.""",A metal object drops onto a hard surface.,,,,,,,,,,,
TreinBar.wav,A group of people is having a conversation.,A group of men is speaking to each other.,Two men are talking and clanking plates while other people talk in the background.,Voices of several people speaking all at once in close proximity,Voices of several people speaking close together at once.,"A group of people are talking, accompanied by the clinking of cutlery, with the sound of a train carriage in the background.",,,,,,,,,,,
passi su vecchio parquet attenzione al centro.wav,A person is taking a walk through of a home and opening the doors to every room.,The shoes of a person squeak while they are walking.,Two people are walking and talking and wearing wet boots.,Two people walking and talking with wet boots on.,Wooden objects being pried and rubbed against each other while shoes are moving across a hard surface.,"The two walked and talked, their footsteps creaking on the wooden floor.",,,,,,,,,,,
Dogs bark back.wav,A birds voice is followed by the commotion of dogs,A dog is barking at another barking dog.,"An ongoing rustling is broken up by high pitched squawks, intermittent barking and the whistling of birds.",Different dogs barking and birds chirping in the background.,The voice of the bird is followed by the noise of dogs,Different dogs barking and birds chirping in the background.,,,,,,,,,,,
WeddingClap.wav,A large crowds is applauding loudly and some can be heard cheering.,An audience or large group of people cheering and clapping and making a lot of noise throughout entire audio clip.,First there was shouting and loud clapping and then the clapping slowed down.,People clapped and cheered loudly before slowing down.,people clap and cheer loudly before slowing down,A large crowds is applauding loudly and some can be heard cheering.,,,,,,,,,,,
Birds Singing in a Small Town During Morning.wav,"""A bird is tweeting, and a strong wind is blowing at the end.""",Birds are chirping while cars are passing on the road.,Birds are singing melodically and for quite a while.,Many cars drive by whilst birds begin their own song.,One bird is prevalent and repetitive to the birds that are chirping.,Birds are chirping while cars are passing on the road.,,,,,,,,,,,
MrM_ElantraInteriorFan.wav,A car blower is being adjusted after being turned on.,"A fan is being switched on and set between low, medium and high and then it is switched off.",A fan is switched on an switches between low medium and high setting before being switched off.,A fan is turned on from the low setting to the higher settings.,The blower fans in a car being adjusted while being turned on., A fan is switched on an switches between low medium and high setting before being switched off.,,,,,,,,,,,
noisy street.wav,A semi truck is idling and then takes off after releasing gears.,"""After idling and releasing gears, a semi truck takes off.""",An engine is chugging loudly the exhaust then spurts and the engine revs.,"""The engine of a truck idles and waits at the light, when it turns green is charges through the intersection.""",The truck engine idles in wait then roars to life and charges through the intersection when the light turns green.,"The truck engine idles, then shifts into gear and starts moving, finally emitting a cutting sound.",,,,,,,,,,,
"Bubbles, Medium, A.wav",A person blows bubbles at a variety of speeds.,bubbles float upward calmly and keep in a steady rhythm,Water is bubbling upward with a high pitch at a steady rate.,continuous bubbling of water that abruptly stops at the end,The water is continuing to bubble up to the surface.,"Water surged upward at a steady pace, emitting a high-pitched bubbling sound.",,,,,,,,,,,
Birdsong down a Chimney.wav,A bird is singing and crickets are chirping in the background.,A bird is singing while crickets are chirping in the background.,A bird makes several different chirping sounds that grow quieter.,The chirping sounds of a bird begin to grow quieter.,Birds chirping with various calls of different rhythms and patterns of high pitched chirps,A bird is singing and crickets are chirping in the background.,,,,,,,,,,,
Distorted AM Radio noise.wav,A muddled noise of broken channel of the TV,A television blares the rhythm of a static TV.,Loud television static dips in and out of focus,The loud buzz of static constantly changes pitch and volume.,heavy static and the beginnings of a signal on a transistor radio,Distorted AM Radio noise,,,,,,,,,,,
Int-USMetalcoinsmoving.wav,A person dropping pennies one on top of another.,A person drops pennies on top of other pennies.,Coins are being dropped and are clashing with each other.,"""Coins are falling to the ground, with more falling as time goes on""",Coins fall to the ground then more fall as time goes on.,The sound of coins clattering as they fall and collide with one another.,,,,,,,,,,,
loud street.wav,A car alarm is sounding in a busy area along with background traffic noise,A car alarm is sounding in a busy area with background traffic noise.,A car alarm sounds as heavy traffic passes close by in a busy part of town.,A car horn alarm goes off while traffic drives by.,A car horn alarm going off while traffic drives by,A car alarm sounds as heavy traffic passes close by in a busy part of town.,,,,,,,,,,,
Contacto Metal.wav,A loud metallic clang is repeatedly generated by banging.,A metallic drum is struck repeatedly and rhythmically,Someone is banging a drum with a stick before moving a cymbal and then banging harder.,Someone makes an object emit repeated loud metallic clangs.,Someone using a stick first bangs on a drum before moving a cymbal and then banging harder.,Someone makes an object emit repeated loud metallic clangs.,,,,,,,,,,,
construction metal lumber.wav,Balls are clacking against one another and a car starts and drives off.,"Hammering on metal and on wood, a vehicle starts and drives away",Metal carts are moving around a warehouse and then a car takes off.,Some balls are hit together followed by a vehicle starting and driving away.,"hammering on metal, hammering on wood, a vehicle starts and drives away","Hammering on metal and on wood, a vehicle starts and drives away.",,,,,,,,,,,
Moscow subway inside the train.wav,A train is moving down railroad tracks and air is moving through a confined space nearby.,A train is passing by at a steady pace,A train quakes on a railroad track and the sound increases in intensity.,A train rumbles on a track and grows in volume.,Heavy machinery is thumping and gears are spinning.,"The train or subway rumbled along the tracks, its sound growing louder, with faint voices in the background.",,,,,,,,,,,
20060706.wasp.wav,A bee buzzing around very fast and loudly,A bee buzzing around very fast and very loudly,A bee buzzing indoors and hit a wall.,"A bee moving around, becoming closer and leaving",An anxious bee buzzes indoors and bangs against a wall.,"A bee buzzed rapidly and loudly, darting about, until finally a bird called out.",,,,,,,,,,,
microwave.oven.wav,A microwave cooking something then dings when ready.,A microwave is cooking something and then it dings when ready.,Someone starts a microwave and then it dings when done.,"Someone starts a microwave, which dings when it is done.",a vacuum runs and then a bell dings,The microwave oven heats food and emits a ding sound when heating is complete.,,,,,,,,,,,
"""Boleskine, forest brook.wav""",A pool is being filled with water using a hose pipe.,A water hose filling up an above ground pool.,An outside fountain lets a brook burble along.,Water runs down upon rocks on a river while birds chirp in the distance.,Water runs down upon rocks on a river with birds in the distance.,Water runs down upon rocks on a river while birds chirp in the distance.,,,,,,,,,,,
bebops_water1.wav,"""Gentle, soft waves repeatedly lap the shoreline on the beach.""","""In the distance, waves were crashing against the shore again, and again.""",The rough waves hit the shore with storm force.,The unpleasant waves hit the shore with storm constrain.,Waves crashing loudly into the shore multiple times.,Wave after wave lapped against the shore.,,,,,,,,,,,
WindChin-cut.wav,"A person knocks and strikes the wind chimes with a stick, making them rattle.",Someone is taping a wooden wind chime in the wind.,Wind chimes clang against one another making music in the wind.,Wind chimes musically clang against one another in the wind.,Wind chimes rattle as someone knocks them and strikes them with a stick.,"A person tapped the wind chime with a stick, producing a pleasant tinkling sound.",,,,,,,,,,,
WalkingInSnowCrunchingIce.wav,A person is walking through the frozen snow.,A person is walking through tightly packed snow,A person walking on snow outside in an open area.,Someone is trudging through the tightly packed snow.,The person walks on the snow outside in an open area.,"A person is walking across the frozen snow, with faint birdsong in the background.",,,,,,,,,,,
Bath Tub.wav,An old squeaky tap is forced open so that a large volume of water can gush and drain out.,Lots of water gushing out after an old squeaky tap is forced open.,"The water faucet was opened all the way with water pouring out at great speed, but was turned off later.",The water is turned on at a faucet and streams into the sink.,Turning the water on at a faucet and having it pour into the sink.,"With a forceful twist, the old, creaking faucet opened, releasing a torrent of water that gushed into the sink.",,,,,,,,,,,
R09_0005B.wav,A machine is running at the same speed with another machine running in the background.,A machine running at the same speed and another machine running in the background.,A steady buzz over a background of intermittent whirring,A steady buzzing sound with an intermittent whirring sound in the background.,The buzz of a drill working its way into another object,"A persistent humming sound, accompanied by intermittent whistling noises.",,,,,,,,,,,
130915 - Interior-Hard Rain with 2 Skylights.wav,A belt turns quickly in a fast moving conveyor system.,A fast moving conveyor system is in operation with a belt turning at high speed.,"""Before the ominous storm actually arrives, heavy rains fall on metal surfaces, the wind blows, and the rain patters on.""","""Heavy rain is falling on a metal surface, the wind blows hard, and the rain patters on.""","""While it rains, the sound pounds against the metal roof.""","Heavy rain is falling on a metal surface, the wind blows hard, and the rain patters on",,,,,,,,,,,
metal door creaking loud (borQue).wav,A creaky metal door is opened and closed repeatedly,"A creaky, metal door is repeatedly opened and closed.",A very creaky door being opened and closed many times.,A very squeaky door is being opened and closed multiple times.,Someone is repeatedly opening and closing a creaking door.,A creaking metal door was repeatedly opened and closed.,,,,,,,,,,,
Wind and Traffic Ambience.wav,A gentle wind blows a traffic passes on a nearby road.,The muted noise of air passing across a surface while an automobile passes by in the background.,The ocean roared on before silence suddenly took its place.,The sound of the ocean could be heard before it was lost in silence.,Wind whistles and traffic moves steadily along against a backdrop of chirping birds.,"A gentle breeze blows, accompanied by the sound of passing cars and birdsong.",,,,,,,,,,,
Machete vs frying pan 3.wav,A blacksmith is hitting a hammer against an anvil,A blacksmith repeatedly hits a hammer against an anvil.,A hammer working on an anvil striking over and over.,"""Light, evenly spaced knocks create tiny, clanging sounds.""",Metal is tapping against another piece of metal.,Metal is tapping against another piece of metal.,,,,,,,,,,,
SinkWater.wav,"Water from a tap rushes into a metal sink, the tap is then turned off and the water drains.",Water is flowing from a faucet into a metal tub.,Water is pouring into a metal tub from a faucet.,"Water pours from a tap and hits a metal basin, and the water pressure then increases before being turned off.","Water rushes into a metal sink basin from a faucet ,which is then turned off, and then drains.","Water flows from the faucet, striking the metal basin. The water pressure then increases before shutting off, and the water drains away.",,,,,,,,,,,
Knocking at door.wav,A person is in an enclosed room knocking on a door.,"""An object begins tapping against a surface quietly, and the tapping grows louder and more urgent.""",Someone is hammering wooden dowels into place for a flat pack build.,"""Someone is knocking on a door first lightly, but then the knocks get louder and more urgent.""",The knocking of someone starts quietly but gets louder and faster.,"Someone is knocking on a door first lightly, but then the knocks get louder and more urgent.",,,,,,,,,,,
Fryers Forest - Powerful Owl (Ninox Stenua).wav,"""An owl hoots four times, stops and then hoots four more times.""",An owl hoots in an outdoors area at night,An owl hoots into the empty night sky,An owl is hooting late in the evening.,An owl that is hooting late at night.,"An owl hoots four times, stops and then hoots four more times.",,,,,,,,,,,
Forbidden Purr01.wav,A cat is purring and breathing in and out.,A light vibration amid the clicks and scrapes of the floor.,"""A low rumbling of a cat purring, then someone snorts.""",Low vibrating over clicking and scraping on the ground.,a humming sound with things moving in the background,"A cat purred, inhaling and exhaling, until it finally produced a pendulum-like sound.",,,,,,,,,,,
Red Arrows low pass with kid.wav,A child is speaking to someone while a airplane flies overhead.,An airplane roars over head with a small child speaking to his father.,The children are talking with each other as a jet is flying overhead.,The sound of super sonic jet doing a fly over above a crowd of people.,sound of super sonic jet doing a fly over above a crowd of people.,"An airplane flew overhead, a child was talking to someone, and there were other voices chatting.",,,,,,,,,,,
Electric Teeth Brushing.wav,"A clanking sound, then the buzz of an electric toothbrush, and silence as it switches off.",An electronic device is making a buzzing sound.,Someone brushing their teeth with an electric toothbrush.,Someone is trimming the grass in the yard with a weed eater.,The electronic device made a loud buzzing sound.,"A clanking sound, then the buzz of an electric toothbrush, and silence as it switches off.",,,,,,,,,,,
Krakow Busker-Ave Maria-056.wav,A guy is singing something while playing the accordion.,A man is singing while playing the accordion.,"""A man sang opera, as an accordion played the music.""",A man with an accordion is singing a song.,A singer singing a song with instrumental accompaniment.,"A man sang opera, as an accordion played the music.",,,,,,,,,,,
"""Atmo Public Swimming Pool Entrance, Germany.wav""",A woman and man are talking and metal bangs around toward the end.,Indiscriminate noise from people talking at a large open room with assembly going on.,Indiscriminate noises from people talking in a large open room reverberate as an assembly goes on.,Some people are talking and things are banging against each other.,"""Two people are conversing in a room with footsteps, dropping of heavy loads and a reversing forklift in the background.""","People are talking, with clattering sounds and chatter, plus a beeping noise.",,,,,,,,,,,
zippers01.wav,A jacket or bag is being zipped and unzipped.,A long zipper is clasped frequently back and forth.,A zipper to a suitcase is being opened and closed.,Long zipper being zipped back and forth multiple times.,The zipper is opened and closed at a slow pace.,Long zipper being zipped back and forth multiple times.,,,,,,,,,,,
rotatingdome.wav,A machine is running in an enclosed space and then it stops.,"A screeching train whistles as it comes down the tracks, followed by a loud noise.",A train approaches and then a train passes by.,An industrial machine with a rotating mechanism starts to operate and gain speed before slowing to a halt.,"whistling and screeching sounds as the train comes down the tracks , then a loud noise",An industrial machine with a rotating mechanism starts to operate and gain speed before slowing to a halt.,,,,,,,,,,,
